,iso_code,location,continent,total_deaths_per_million,aged_65_older,people_fully_vaccinated_per_hundred,stringency_index,latitude,longitude
97,KAZ,Kazakhstan,Asia,992.474,6.991,55.21,59.65832974137931,48.00000000,68.00000000
98,KEN,Kenya,Africa,107.121,2.686,19.14,57.01539278131635,1.00000000,38.00000000
99,KGZ,Kyrgyzstan,Asia,458.198,4.489,20.61,51.68818669527897,41.00000000,75.00000000
100,KHM,Cambodia,Asia,184.218,4.412,87.71,49.45085889570552,13.00000000,105.00000000
101,KOR,South Korea,Asia,556.433,13.914,86.21,44.46418016194332,37.00000000,127.50000000
102,KWT,Kuwait,Asia,603.278,2.345,78.55,54.96656842105263,29.50000000,45.75000000
103,LAO,Laos,Asia,102.087,4.029,70.34,52.83803455723542,18.00000000,105.00000000
104,LBN,Lebanon,Asia,1911.086,8.514,43.03,60.32950526315789,33.83333333,35.83333333
105,LBR,Liberia,Africa,56.61,3.057,66.18,50.58779475982533,6.50000000,-9.50000000
106,LBY,Libya,Africa,955.714,4.424,18.26,63.67236786469344,25.00000000,17.00000000
107,LKA,Sri Lanka,Asia,770.158,10.069,67.48,54.818057553956834,7.00000000,81.00000000
108,LSO,Lesotho,Africa,309.452,4.506,38.25,48.84701268742791,-29.50000000,28.50000000
109,LTU,Lithuania,Europe,3357.076,19.002,67.43,39.0246186895811,56.00000000,24.00000000
110,LUX,Luxembourg,Europe,1776.885,14.312,72.37,42.18011518324607,49.75000000,6.16666666
111,LVA,Latvia,Europe,3216.788,19.754,69.69,41.965548387096774,57.00000000,25.00000000
112,MAR,Morocco,Africa,439.037,6.769,63.39,59.13385567010309,32.00000000,-5.00000000
113,MDA,Moldova,Europe,3877.177,10.864,34.99,46.81763269639066,47.00000000,29.00000000
114,MDG,Madagascar,Africa,48.763,2.929,5.64,44.97934853420196,-20.00000000,47.00000000
115,MEX,Mexico,North America,2606.658,6.857,64.6,46.95594704684318,23.00000000,-102.00000000
117,MLI,Mali,Africa,33.874,2.519,8.8,42.56523243243243,17.00000000,-4.00000000
118,MLT,Malta,Europe,1530.143,19.426,89.41,44.947968253968256,35.83333333,14.58333333
119,MMR,Myanmar,Asia,361.909,5.732,51.2,71.10027085590467,22.00000000,98.00000000
121,MNG,Mongolia,Asia,636.541,4.031,64.99,47.90575858250277,46.00000000,105.00000000
